Roll_Rate_x	Pitch_Rate_y	Yaw_Rate_z	Latitude	Longitude	Altidude	Barometric_Pressure	a_x	a_y	a_z	Heading	v_x	v_y	v_z	Status	PosU	VelU	PITCH	ROLL	YAW
-0.001	-0.003	-0.002	0.0	0.0	0.0	0.0026496	0.05	0.011	-9.287	-1.25	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.62
-0.002	-0.006	-0.002	0.0	0.0	0.0	-0.0013503999999999999	0.055	0.033	-9.34	-1.23	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.62
-0.002	-0.004	0.001	0.0	0.0	0.0	-0.0019072	0.07200000000000001	-0.001	-9.254	-1.25	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.62
0.001	0.003	0.002	0.0	0.0	0.0	-0.0007999999999999999	0.057	0.01	-9.319	-1.24	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.62
0.002	0.004	0.0	0.0	0.0	0.0	0.0026496	0.075	0.0	-9.293000000000001	-1.26	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.62
0.003	0.005	0.0	0.0	0.0	0.0	0.0026496	0.055	-0.023	-9.324	-1.26	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.62
0.003	0.003	0.001	0.0	0.0	0.0	0.0026496	0.053	0.001	-9.344	-1.24	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.62
0.001	0.004	0.001	0.0	0.0	0.0	0.0007551999999999999	0.089	0.017	-9.333	-1.25	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.62
-0.002	-0.004	0.0	0.0	0.0	0.0	-0.0027968	0.067	0.042	-9.294	-1.24	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.62
0.0	0.0	0.0	0.0	0.0	0.0	0.000544	0.07200000000000001	0.027	-9.281	-1.26	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.62
0.0	0.0	0.0	0.0	0.0	0.0	-0.0007999999999999999	0.054	0.025	-9.326	-1.25	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.62
0.0	0.0	0.0	0.0	0.0	0.0	-0.0013503999999999999	0.069	-0.002	-9.342	-1.26	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.62
0.0	0.0	0.001	0.0	0.0	0.0	-0.0013503999999999999	0.066	-0.003	-9.33	-1.25	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.63
0.0	-0.001	0.0	0.0	0.0	0.0	0.0026496	0.054	0.009000000000000001	-9.288	-1.26	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.63
0.0	0.001	0.0	0.0	0.0	0.0	0.0026496	0.069	0.014	-9.321	-1.24	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.63
0.001	0.001	0.001	0.0	0.0	0.0	0.0026496	0.049	0.005	-9.319	-1.25	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.63
0.0	0.0	0.0	0.0	0.0	0.0	-0.0027968	0.046	0.038	-9.296	-1.25	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.63
0.001	0.0	0.0	0.0	0.0	0.0	0.0026496	0.07100000000000001	0.005	-9.308	-1.25	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.63
0.0	-0.001	0.0	0.0	0.0	0.0	0.0026496	0.07200000000000001	0.003	-9.287	-1.27	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.63
0.0	0.0	0.0	0.0	0.0	0.0	0.0006527999999999999	0.077	0.018000000000000002	-9.33	-1.25	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.63
0.0	0.001	0.0	0.0	0.0	0.0	0.0032064	0.077	-0.008	-9.331	-1.26	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.63
-0.001	0.0	0.0	0.0	0.0	0.0	-0.0027968	0.069	-0.004	-9.335	-1.26	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.63
0.001	0.0	0.0	0.0	0.0	0.0	-0.0013503999999999999	0.067	0.013000000000000001	-9.322000000000001	-1.26	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.63
0.0	0.001	0.001	0.0	0.0	0.0	0.0026496	0.084	0.01	-9.291	-1.26	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.63
0.0	-0.001	0.001	0.0	0.0	0.0	0.0032064	0.056	0.028	-9.313	-1.26	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.63
0.0	0.0	0.0	0.0	0.0	0.0	0.0026496	0.064	0.001	-9.319	-1.26	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.63
0.0	0.001	0.0	0.0	0.0	0.0	-0.0027968	0.031	0.029	-9.309000000000001	-1.25	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.63
0.0	0.0	0.0	0.0	0.0	0.0	0.0006527999999999999	0.058	-0.003	-9.288	-1.25	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.63
0.001	0.0	0.001	0.0	0.0	0.0	0.0006527999999999999	0.054	0.01	-9.318	-1.25	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.64
